vcf_sample	bed_sample
GTEX-14PJ4	GTEX-14PJ4-0006-SM-7RHFY
GTEX-14PJ5	GTEX-14PJ5-0005-SM-9MQLO
GTEX-14PJ6	GTEX-14PJ6-0006-SM-7P8RE
GTEX-14PJM	GTEX-14PJM-0006-SM-9JGHA
GTEX-14PJN	GTEX-14PJN-0005-SM-9JGGF
GTEX-14PJO	GTEX-14PJO-0005-SM-9JGGY
GTEX-14PJP	GTEX-14PJP-0005-SM-7P8OM
GTEX-14PK6	GTEX-14PK6-0006-SM-7PC1L
GTEX-14PKU	GTEX-14PKU-0005-SM-9KNTL
GTEX-14PKV	GTEX-14PKV-0006-SM-9MQL3
GTEX-14PN3	GTEX-14PN3-0006-SM-7SB6O
GTEX-14PN4	GTEX-14PN4-0005-SM-7PC21
GTEX-14PQA	GTEX-14PQA-0006-SM-7PC2D
GTEX-14XAO	GTEX-14XAO-0006-SM-7RHFX
GTEX-15CHC	GTEX-15CHC-0006-SM-7P8RG
GTEX-15CHQ	GTEX-15CHQ-0005-SM-7P8RH
GTEX-15CHR	GTEX-15CHR-0005-SM-9KNUS
GTEX-15D1Q	GTEX-15D1Q-0006-SM-9KNTN
GTEX-15D79	GTEX-15D79-0005-SM-7P8TS
GTEX-15DCD	GTEX-15DCD-0006-SM-7RHG4
GTEX-15DCE	GTEX-15DCE-0005-SM-7SB7J
GTEX-15DYW	GTEX-15DYW-0006-SM-7RHFR
GTEX-15DZA	GTEX-15DZA-0005-SM-9JGFP
GTEX-15EO6	GTEX-15EO6-0005-SM-7PBZC
GTEX-15ETS	GTEX-15ETS-0005-SM-9KNTJ
GTEX-15EU6	GTEX-15EU6-0005-SM-7P8RJ
GTEX-15G19	GTEX-15G19-0006-SM-9KNW6
GTEX-15G1A	GTEX-15G1A-0006-SM-7PC1Z
GTEX-15RIE	GTEX-15RIE-0006-SM-7MKF8
GTEX-15RIF	GTEX-15RIF-0005-SM-7RHGH
GTEX-15RIG	GTEX-15RIG-0006-SM-7PC1N
GTEX-15RJ7	GTEX-15RJ7-0006-SM-7RHHM
GTEX-15RJE	GTEX-15RJE-0006-SM-7PC1J
